price,boillinger_top,boillinger_bottom,klinger,rsi
0.017763,0.017959,0.017682,5.0,44.58
0.017766,0.017954,0.017681,8.0,45.70
0.017760,0.017944,0.017680,7.0,43.66
0.017769,0.017939,0.017679,8.0,47.46
0.017765,0.017928,0.017679,6.0,45.86
0.017770,0.017923,0.017679,8.0,48.21
0.017766,0.017917,0.017680,6.0,46.47
0.017765,0.017910,0.017681,6.0,46.03
0.017764,0.017904,0.017682,1.0,45.56
0.017779,0.017898,0.017684,4.0,53.27
0.017748,0.017891,0.017685,-2.0,40.50
0.017745,0.017883,0.017687,-3.0,39.51
0.017742,0.017873,0.017690,-5.0,38.50
0.017749,0.017863,0.017694,-1.0,42.22
0.017743,0.017851,0.017699,-2.0,39.99
0.017751,0.017839,0.017705,0.0,44.22
0.017744,0.017824,0.017714,-2.0,41.46
0.017729,0.017810,0.017722,-8.0,36.25
0.017728,0.017798,0.017728,-12.0,35.93
0.017732,0.017799,0.017727,-5.0,38.30
0.017716,0.017799,0.017723,-7.0,33.03
0.017717,0.017799,0.017720,-7.0,33.64
0.017716,0.017799,0.017718,-9.0,33.31
0.017713,0.017799,0.017715,-12.0,32.29
0.017705,0.017799,0.017712,-17.0,29.68
0.017699,0.017799,0.017708,-16.0,27.86
0.017711,0.017799,0.017706,-7.0,36.28
