price,ema,volume,volume_ema,klinger,rsi,signal
0.017622,0.017553,132,697,1.0,71.83,1
0.017589,0.017561,359,685,-11.0,59.30,1
0.017585,0.017564,174,668,-19.0,57.95,1
0.017580,0.017565,167,610,-25.0,56.23,1
0.017562,0.017565,259,603,-31.0,50.42,1
0.017541,0.017563,265,606,-36.0,44.63,1
0.017560,0.017562,164,599,-31.0,50.20,1
0.017556,0.017561,215,319,-29.0,49.18,1
0.017554,0.017560,581,340,-38.0,48.57,1
0.017519,0.017556,201,314,-38.0,39.40,1
0.017565,0.017557,617,334,-22.0,52.18,2
0.017579,0.017562,124,324,-15.0,57.19,1
0.017577,0.017563,368,334,-22.0,54.13,1
0.017575,0.017565,183,323,-23.0,53.57,1
0.017606,0.017571,116,270,-13.0,60.51,1
0.017586,0.017573,148,261,-16.0,54.52,1
0.017601,0.017576,153,262,-11.0,57.89,1
0.017606,0.017578,77,240,-9.0,58.98,1
0.017622,0.017583,167,231,-6.0,62.34,1
0.017585,0.017583,229,234,-11.0,51.78,1
0.017621,0.017586,164,233,-6.0,59.05,1
0.017653,0.017593,518,246,3.0,64.21,1
0.017704,0.017603,841,275,16.0,70.58,1
0.017681,0.017611,536,294,1.0,64.97,1
0.017742,0.017623,370,301,6.0,71.45,1
0.017746,0.017635,1432.0,362,29.0,71.82,1
0.017707,0.017642,368,351,14.0,63.25,1
0.017687,0.017646,192,351,5.0,59.34,1
0.017701,0.017651,491,345,10.0,61.15,1
0.017735,0.017659,341,352,12.0,65.20,1
0.017691,0.017662,1101.0,401,-14.0,56.93,1
0.017704,0.017666,171,391,-10.0,58.60,1
0.017734,0.017673,229,393,-6.0,62.24,1
0.017752,0.017680,293,397,-2.0,64.27,1
0.017746,0.017687,228,402,-9.0,63.05,1
0.017741,0.017697,183,403,-11.0,61.95,1
0.017760,0.017703,872,443,5.0,64.56,1
0.017754,0.017708,193,444,-1.0,63.09,1
0.017774,0.017714,350,450,3.0,65.88,1
0.017799,0.017722,685,476,13.0,69.03,1
0.017788,0.017728,754,488,-6.0,66.14,1
0.017804,0.017736,706,481,6.0,68.23,1
0.017775,0.017739,547,482,-8.0,60.90,0
0.017770,0.017742,256,476,-13.0,59.71,1
0.017752,0.017743,769,443,-27.0,55.50,1
0.017753,0.017744,168,433,-26.0,55.69,1
0.017760,0.017746,322,439,-15.0,57.05,1
0.017699,0.017741,1159.0,473,-34.0,44.29,0
0.017709,0.017738,225,467,-31.0,46.41,1
0.017696,0.017734,564,440,-35.0,44.07,1
0.017668,0.017728,505,457,-36.0,39.45,1
0.017691,0.017724,288,460,-22.0,44.59,1
0.017693,0.017721,213,456,-12.0,45.02,1
0.017702,0.017718,497,489,13.0,47.08,1
0.017720,0.017718,794,519,26.0,51.24,2
0.017725,0.017718,156,494,26.0,52.41,1
0.017711,0.017718,176,485,17.0,48.94,1
0.017700,0.017716,267,464,9.0,46.34,1
0.017686,0.017713,114,432,5.0,43.19,1
0.017707,0.017712,270,410,9.0,48.80,1
0.017697,0.017711,116,381,5.0,46.28,1
0.017715,0.017711,210,353,8.0,51.18,1
0.017720,0.017712,173,353,9.0,52.47,1
0.017727,0.017713,287,352,11.0,54.30,1
0.017784,0.017720,1049.0,346,28.0,65.84,1
0.017765,0.017724,325,351,15.0,60.37,1
0.017769,0.017729,193,332,14.0,61.10,1
0.017749,0.017730,343,324,3.0,55.57,1
0.017733,0.017731,157,318,-1.0,51.55,1
0.017741,0.017732,112,313,0.0,53.37,1
0.017753,0.017735,291,283,1.0,56.22,1
0.017757,0.017737,288,258,4.0,57.16,1
0.017744,0.017737,186,247,-1.0,53.16,1
0.017747,0.017741,135,240,-4.0,53.68,1
0.017754,0.017742,78,230,-3.0,55.89,1
0.017738,0.017741,491,250,-12.0,50.03,0
0.017747,0.017742,199,254,-7.0,53.01,1
