price,ema20,vol,vol_ema,sar,rsi
0.020389,0.020325,988,1012.0,8.500000000000174e-05,66.30
0.020355,0.020327,415,984,4.000000000000184e-05,58.71
0.020313,0.020326,754,939,-0.0002579999999999978,50.95
0.020320,0.020326,526,876,-0.00023899999999999963,52.09
0.020325,0.020325,440,819,-0.00021300000000000138,52.99
0.020315,0.020324,432,786,-0.00021200000000000038,50.93
0.020332,0.020325,329,780,-0.00018500000000000114,54.20
0.020339,0.020326,517,783,-0.000168999999999999,55.51
0.020312,0.020325,441,782,-0.00018699999999999967,49.60
0.020334,0.020326,245,777,-0.0001559999999999999,53.91
0.020322,0.020325,466,758,-0.00016000000000000042,51.33
0.020341,0.020327,388,742,-0.0001329999999999977,55.00
0.020356,0.020330,359,730,-0.00011000000000000246,57.71
