price,ema20,ema25,ema30,ema35,ema40,ema45,ema50,vol,vol_ema,predict
0.017489,0.017535,0.017538,0.017540,0.017542,0.017544,0.017546,0.017548,225,814,0.0175647
0.017492,0.017531,0.017534,0.017537,0.017540,0.017542,0.017544,0.017546,330,810,0.017574
0.017499,0.017528,0.017532,0.017535,0.017537,0.017540,0.017542,0.017544,172,724,0.0175821
0.017511,0.017526,0.017530,0.017533,0.017536,0.017538,0.017541,0.017543,177,719,0.0175872
0.017521,0.017526,0.017529,0.017532,0.017535,0.017538,0.017540,0.017542,406,706,0.0175892
0.017577,0.017531,0.017533,0.017535,0.017537,0.017539,0.017541,0.017543,644,674,0.0175875
0.017614,0.017539,0.017539,0.017540,0.017542,0.017543,0.017545,0.017546,756,699,0.017581399999999997
0.017610,0.017545,0.017545,0.017545,0.017545,0.017546,0.017547,0.017549,329,705,0.017576
0.017622,0.017553,0.017551,0.017550,0.017550,0.017550,0.017551,0.017551,132,697,0.017569199999999997
0.017612,0.017558,0.017555,0.017554,0.017553,0.017553,0.017553,0.017554,506,682,0.0175599
0.017589,0.017561,0.017558,0.017556,0.017555,0.017555,0.017555,0.017555,359,685,0.017557499999999997
0.017585,0.017564,0.017560,0.017558,0.017557,0.017556,0.017556,0.017556,174,668,0.0175569
0.017580,0.017565,0.017562,0.017559,0.017558,0.017557,0.017557,0.017557,167,610,0.017557700000000002
0.017562,0.017565,0.017562,0.017560,0.017558,0.017558,0.017557,0.017557,259,603,0.0175592
0.017541,0.017563,0.017560,0.017558,0.017557,0.017557,0.017557,0.017557,265,606,0.0175626
0.017560,0.017562,0.017560,0.017558,0.017557,0.017557,0.017557,0.017557,164,599,0.017566500000000002
0.017553,0.017561,0.017559,0.017558,0.017557,0.017557,0.017557,0.017557,223,341,0.017571800000000002
0.017556,0.017561,0.017559,0.017558,0.017557,0.017557,0.017557,0.017557,215,319,0.017574799999999998
0.017554,0.017560,0.017559,0.017558,0.017557,0.017557,0.017557,0.017557,581,340,0.0175795
0.017519,0.017556,0.017556,0.017555,0.017555,0.017555,0.017555,0.017555,201,314,0.017588200000000002
0.017565,0.017557,0.017556,0.017556,0.017555,0.017555,0.017555,0.017556,617,334,0.017593900000000003
0.017579,0.017559,0.017558,0.017557,0.017557,0.017556,0.017556,0.017556,190,327,0.0175945
0.017588,0.017562,0.017560,0.017559,0.017558,0.017558,0.017558,0.017558,124,324,0.0175978
0.017577,0.017563,0.017562,0.017560,0.017560,0.017559,0.017559,0.017558,368,334,0.0176054
0.017575,0.017565,0.017563,0.017561,0.017560,0.017560,0.017559,0.017559,183,323,0.0176183
0.017599,0.017568,0.017566,0.017564,0.017563,0.017562,0.017561,0.017561,222,302,0.0176265
0.017606,0.017571,0.017569,0.017567,0.017565,0.017564,0.017563,0.017562,116,270,0.0176401
0.017586,0.017573,0.017570,0.017568,0.017566,0.017565,0.017564,0.017563,148,261,0.0176561
0.017601,0.017576,0.017572,0.017570,0.017568,0.017567,0.017566,0.017565,153,262,0.0176667
0.017606,0.017578,0.017575,0.017572,0.017570,0.017569,0.017567,0.017566,77,240,0.0176748
0.017622,0.017583,0.017579,0.017575,0.017573,0.017571,0.017570,0.017569,167,231,0.0176827
0.017585,0.017583,0.017579,0.017576,0.017574,0.017572,0.017570,0.017569,229,234,0.0176977
0.017621,0.017586,0.017582,0.017579,0.017576,0.017574,0.017573,0.017571,164,233,0.0177047
0.017653,0.017593,0.017588,0.017584,0.017581,0.017578,0.017576,0.017575,518,246,0.017709799999999998
0.017704,0.017603,0.017597,0.017592,0.017587,0.017584,0.017582,0.017580,841,275,0.017712799999999997
0.017681,0.017611,0.017603,0.017597,0.017593,0.017589,0.017586,0.017584,536,294,0.0177199
0.017742,0.017623,0.017614,0.017607,0.017601,0.017596,0.017593,0.017590,370,301,0.0177203
0.017746,0.017635,0.017624,0.017616,0.017609,0.017604,0.017599,0.017596,1432.0,362,0.017720100000000003
0.017707,0.017642,0.017630,0.017622,0.017614,0.017609,0.017604,0.017600,368,351,0.017723500000000003
0.017687,0.017646,0.017635,0.017626,0.017618,0.017613,0.017608,0.017604,192,351,0.0177308
0.017701,0.017651,0.017640,0.017631,0.017623,0.017617,0.017612,0.017607,491,345,0.017736099999999998
0.017735,0.017659,0.017647,0.017637,0.017629,0.017623,0.017617,0.017612,341,352,0.01774
0.017691,0.017662,0.017651,0.017641,0.017633,0.017626,0.017620,0.017616,1101.0,401,0.0177508
0.017704,0.017666,0.017655,0.017645,0.017637,0.017630,0.017624,0.017619,171,391,0.0177592
0.017734,0.017673,0.017661,0.017651,0.017642,0.017635,0.017629,0.017624,229,393,0.0177662
0.017752,0.017680,0.017668,0.017657,0.017648,0.017641,0.017634,0.017629,293,397,0.0177685
0.017746,0.017687,0.017674,0.017663,0.017654,0.017646,0.017639,0.017633,228,402,0.0177709
0.017744,0.017692,0.017679,0.017668,0.017659,0.017651,0.017644,0.017638,131,402,0.0177717
0.017741,0.017697,0.017684,0.017673,0.017663,0.017655,0.017648,0.017642,183,403,0.017772899999999998
0.017760,0.017703,0.017690,0.017678,0.017669,0.017660,0.017653,0.017646,872,443,0.017772899999999998
0.017754,0.017708,0.017695,0.017683,0.017673,0.017665,0.017657,0.017650,193,444,0.0177674
0.017774,0.017714,0.017701,0.017689,0.017679,0.017670,0.017662,0.017655,350,450,0.017760900000000003
0.017799,0.017722,0.017708,0.017696,0.017686,0.017676,0.017668,0.017661,685,476,0.0177506
0.017788,0.017728,0.017715,0.017702,0.017691,0.017682,0.017673,0.017666,754,488,0.0177386
