price,supertrendSell,supertrendBuy,rsi,ema
0.063172,n/a,0.06,38.06,0.062832
0.063229,n/a,0.06,23.89,0.062836
0.063187,n/a,0.06,6.30,0.062839
0.063355,n/a,0.06,21.70,0.062845
0.063393,n/a,0.06,36.54,0.062850
0.063616,n/a,0.06,68.32,0.062858
0.063556,n/a,0.06,80.80,0.062865
0.063570,n/a,0.06,90.04,0.062872
0.063621,n/a,0.06,89.13,0.062879
0.063671,n/a,0.06,94.59,0.062887
0.063682,n/a,0.06,99.09,0.062895
0.063761,n/a,0.06,100.00,0.062904
0.063800,n/a,0.06,100.00,0.062912
0.063930,n/a,0.06,100.00,0.062923
0.063862,n/a,0.06,94.30,0.062932
0.063936,n/a,0.06,91.79,0.062942
0.064019,n/a,0.06,91.79,0.062953
0.063937,n/a,0.06,87.55,0.062962
0.063915,n/a,0.06,72.96,0.062972
