price,ema20,vol,vol_ema,dif_sar,rsi
0.022202,0.022218,278,292,-2.9999999999998778e-05,43.14
0.022195,0.022216,380,283,-3.500000000000031e-05,41.23
0.022169,0.022212,713,301,-5.6000000000000494e-05,35.03
0.022158,0.022206,465,299,-6.0999999999998555e-05,32.78
0.022163,0.022202,355,307,-4.70000000000019e-05,34.83
0.022059,0.022189,1816.0,384,-0.00013200000000000017,20.71
0.022052,0.022176,821,411,-0.00011400000000000299,20.12
0.022134,0.022172,451,419,-1.1000000000000593e-05,41.27
0.022105,0.022165,595,426,-3.699999999999884e-05,37.49
0.022108,0.022160,485,441,-1.6000000000002124e-05,38.12
0.022052,0.022150,1364.0,497,-5.7000000000001494e-05,31.68
0.022088,0.022144,498,510,-8.000000000001062e-06,38.83
0.022106,0.022140,234,504,9.299999999999933e-05,42.10
0.022096,0.022136,493,519,7.900000000000268e-05,40.79
0.022073,0.022130,380,521,5.199999999999996e-05,37.89
0.022081,0.022125,242,521,5.6000000000000494e-05,39.50
0.022092,0.022122,212,525,6.400000000000156e-05,41.74
0.022071,0.022117,535,544,3.900000000000084e-05,38.79
0.022099,0.022116,263,546,6.400000000000156e-05,44.43
0.022117,0.022116,499,554,7.700000000000068e-05,47.77
0.022104,0.022115,351,558,5.6999999999998024e-05,45.64
0.022113,0.022114,135,545,5.9000000000000025e-05,47.39
0.022106,0.022114,275,523,4.60000000000009e-05,46.14
0.022121,0.022114,295,515,5.4999999999999494e-05,49.22
0.022102,0.022113,359,515,3.099999999999978e-05,45.66
0.022096,0.022111,320,440,2.1000000000000185e-05,44.57
0.022097,0.022110,296,414,1.6999999999999654e-05,44.80
0.022092,0.022108,246,404,9.000000000002062e-06,43.79
0.022068,0.022105,364,392,-6.199999999999956e-05,39.22
0.022102,0.022104,455,391,-2.5000000000000716e-05,47.57
0.022104,0.022104,315,338,-1.9000000000001654e-05,48.03
0.022123,0.022106,362,332,0.0,52.24
0.022162,0.022111,507,345,0.00011700000000000252,59.50
0.022117,0.022112,530,347,6.600000000000009e-05,50.05
0.022147,0.022115,535,355,9.10000000000008e-05,55.16
0.022124,0.022116,534,369,6.300000000000056e-05,50.86
0.022132,0.022118,465,382,6.600000000000009e-05,52.26
0.022134,0.022119,411,376,6.300000000000056e-05,52.62
0.022168,0.022124,363,381,9.20000000000018e-05,58.39
0.022164,0.022128,291,370,8.400000000000074e-05,57.51
0.022131,0.022128,243,365,4.70000000000019e-05,50.66
0.022196,0.022134,361,376,0.00010500000000000093,60.61
0.022180,0.022139,281,377,8.199999999999874e-05,57.53
0.022185,0.022143,778,401,8.100000000000121e-05,58.25
0.022168,0.022146,364,401,5.7999999999999025e-05,54.87
0.022178,0.022149,408,405,6.300000000000056e-05,56.47
0.022173,0.022151,391,410,5.2999999999997494e-05,55.41
0.022172,0.022153,430,419,4.70000000000019e-05,55.19
0.022181,0.022156,226,412,5.199999999999996e-05,56.87
0.022189,0.022161,269,399,5.099999999999896e-05,58.47
0.022184,0.022163,184,390,4.29999999999979e-05,57.04
0.022170,0.022164,287,379,2.4999999999997247e-05,53.14
0.022155,0.022163,229,364,7.000000000000062e-06,49.24
0.022162,0.022163,161,346,1.2000000000001593e-05,51.05
0.022171,0.022164,155,327,1.8000000000000654e-05,53.34
0.022157,0.022163,214,314,1.000000000001e-06,49.46
0.022159,0.022163,774,332,-4.099999999999937e-05,50.02
0.022189,0.022165,224,325,-9.999999999999593e-06,57.60
0.022144,0.022163,574,339,-5.300000000000096e-05,46.26
0.022120,0.022159,726,364,-7.000000000000062e-05,41.56
0.022103,0.022154,739,382,-7.399999999999768e-05,38.57
0.022120,0.022150,354,386,-4.39999999999989e-05,42.99
0.022128,0.022148,387,367,-2.5000000000000716e-05,44.99
0.022123,0.022146,254,361,-2.3999999999999716e-05,43.95
0.022153,0.022147,361,359,0.00012999999999999817,51.24
0.022150,0.022147,258,352,0.00012099999999999958,50.53
0.022125,0.022145,215,341,9.099999999999733e-05,44.96
0.022093,0.022140,878,374,5.400000000000196e-05,39.03
0.022091,0.022135,990,412,4.699999999999843e-05,38.69
0.022092,0.022131,958,446,4.39999999999989e-05,38.98
0.022119,0.022130,556,465,6.600000000000009e-05,46.33
0.022115,0.022129,568,479,5.7999999999999025e-05,45.46
0.022130,0.022129,505,493,6.899999999999962e-05,49.32
0.022114,0.022127,471,508,4.900000000000043e-05,45.61
0.022138,0.022128,455,523,6.900000000000309e-05,51.51
0.022122,0.022128,333,529,4.900000000000043e-05,47.79
0.022127,0.022128,196,500,5.100000000000243e-05,49.03
0.022083,0.022123,296,489,-7.800000000000168e-05,39.47
0.022074,0.022119,726,489,-8.199999999999874e-05,37.85
0.022061,0.022113,324,469,-8.99999999999998e-05,35.57
0.022072,0.022109,410,471,-7.399999999999768e-05,38.92
0.022050,0.022104,544,479,-9.10000000000008e-05,35.00
0.022096,0.022103,582,496,-3.999999999999837e-05,47.01
0.022114,0.022104,956,525,8.600000000000274e-05,50.84
